Name,Twitter Handle,Category,Notes
Sam Altman,@sama,AI Acceleration,OpenAI CEO
Elon Musk,@elonmusk,AI Acceleration / Tech CEO,Tesla SpaceX X owner
Marc Andreessen,@pmarca,VC / Accelerationist,a16z cofounder
Dario Amodei,@DarioAmodei,AI Research,Anthropic CEO
Demis Hassabis,@demishassabis,AI Research,DeepMind CEO - Nobel laureate
Peter Thiel,@peterthiel,VC / Accelerationist,Palantir cofounder Founders Fund
Alex Karp,N/A,Tech CEO,Palantir CEO - no public Twitter
Mustafa Suleyman,@mustafasuleymn,AI Research,Microsoft AI CEO
Jensen Huang,@nv_jen,Tech CEO,NVIDIA CEO
Satya Nadella,@satyanadella,Tech CEO,Microsoft CEO
Sundar Pichai,@sundarpichai,Tech CEO,Google CEO
Mark Zuckerberg,@finkd,Tech CEO,Meta CEO
Tim Cook,@tim_cook,Tech CEO,Apple CEO
Reid Hoffman,@reidhoffman,VC / Cultural Bridge,LinkedIn cofounder Greylock
Naval Ravikant,@naval,VC / Cultural,AngelList founder
Balaji Srinivasan,@balajis,Crypto / Accelerationist,Former Coinbase CTO
Chamath Palihapitiya,@chamath,VC / Cultural,Social Capital
David Sacks,@DavidSacks,VC / Cultural,Craft Ventures
Bill Ackman,@BillAckman,Finance / VC,Pershing Square
Geoffrey Hinton,@geoffreyhinton,AI Research / Ethics,Nobel laureate - left Google over AI concerns
Yann LeCun,@ylecun,AI Research,Meta Chief AI Scientist
Andrej Karpathy,@karpathy,AI Research,Ex-Tesla Autopilot Ex-OpenAI
Ian Goodfellow,@goodfellow_ian,AI Research,Apple GAN inventor
Fei-Fei Li,@drfeifei,AI Research / Ethics,Stanford HAI codirector
Timnit Gebru,@timnitGebru,AI Ethics,DAIR Institute founder
Kate Crawford,@katecrawford,AI Ethics,AI Now Institute
Jeremy Howard,@jeremyphoward,AI Research,Fast.ai cofounder
Cathy O'Neil,@mathbabedotorg,Tech Ethics,Author of Weapons of Math Destruction
Shoshana Zuboff,@shoshanazuboff,Tech Ethics,Surveillance capitalism scholar
Zeynep Tufekci,@zeynep,Tech Ethics,Sociologist tech critic
Meredith Whittaker,@Mer__edith,Tech Ethics,Signal president AI Now cofounder
Stuart Russell,@stuartjrussell,AI Safety,UC Berkeley AI safety expert
Larry Fink,@laurencedfi nk,Corporate Greenwashing,BlackRock CEO ESG promoter
Klaus Schwab,@ProfKlausSchwab,Corporate Greenwashing,WEF founder
Al Gore,@AlGore,Corporate Greenwashing / Climate,Former VP climate activist
Bill Gates,@BillGates,Corporate Greenwashing / Tech,Microsoft founder climate investor
Jeff Bezos,@JeffBezos,Corporate Greenwashing / Tech,Amazon founder climate pledges
Jamie Dimon,@jpmorgan,Corporate Greenwashing,JPMorgan CEO
Joe Rogan,@joerogan,Cultural Amplifier,Podcast host
Lex Fridman,@lexfridman,Cultural Amplifier,AI researcher podcast host
Tim Ferriss,@tferriss,Cultural Amplifier,Author podcast host
Jordan Peterson,@jordanbpeterson,Cultural Amplifier,Psychologist public intellectual
Yuval Noah Harari,@harari_yuval,Cultural Bridge,Historian Sapiens author
Kevin Kelly,@kevin2kelly,Cultural Bridge,Wired cofounder futurist
Ray Kurzweil,@RayKurzweil,Cultural Bridge / Futurist,Google engineering director singularity
Vitalik Buterin,@VitalikButerin,Crypto / Accelerationist,Ethereum cofounder
Brian Armstrong,@brian_armstrong,Crypto / Accelerationist,Coinbase CEO
Chris Dixon,@cdixon,Crypto / VC,a16z crypto
Sam Harris,@SamHarrisOrg,Cultural Amplifier,Neuroscientist podcast host
Eric Weinstein,@EricRWeinstein,Cultural Amplifier,Thiel Capital managing director
Bret Weinstein,@BretWeinstein,Cultural Amplifier,Evolutionary biologist podcast host
Tyler Cowen,@tylercowen,Cultural Bridge,Economist Marginal Revolution
Andrew Ng,@AndrewYNg,AI Research / Education,Coursera cofounder Stanford
Yoshua Bengio,@yoshuabengio,AI Research,Turing Award winner Montreal
Yann LeCun,@ylecun,AI Research,Meta Chief AI Scientist - Nobel considerations
Karen Hao,@_KarenHao,AI Ethics / Journalism,Algorithm Watch reporter
Clément Delangue,@ClementDelangue,AI Research,HuggingFace CEO
OpenAI,@OpenAI,AI Corporation,ChatGPT GPT-4 corporate account
Anthropic,@AnthropicAI,AI Corporation,Claude AI corporate account
DeepMind,@DeepMind,AI Corporation,Google AI subsidiary
Microsoft AI,@MSFTResearch,AI Corporation,Microsoft AI research division
Google AI,@GoogleAI,AI Corporation,Google AI development
Meta AI,@MetaAI,AI Corporation,Meta artificial intelligence research
NVIDIA,@nvidia,Tech Corporation,AI chips GPU manufacturer
Tesla,@Tesla,Tech Corporation,Electric vehicles autonomous driving
SpaceX,@SpaceX,Tech Corporation,Space exploration
Apple,@Apple,Tech Corporation,Consumer tech AI integration
Microsoft,@Microsoft,Tech Corporation,Cloud AI enterprise software
Google,@Google,Tech Corporation,Search advertising AI cloud
Meta,@Meta,Tech Corporation,Social media metaverse
Amazon,@amazon,Tech Corporation,E-commerce cloud AWS
Andreessen Horowitz,@a16z,VC Firm,Major tech AI investor
Founders Fund,@foundersfund,VC Firm,Thiel's investment firm
Y Combinator,@ycombinator,VC Firm / Accelerator,Startup accelerator
Greylock Partners,@GreylockVC,VC Firm,Reid Hoffman's firm
Sequoia Capital,@sequoia,VC Firm,Major Silicon Valley VC
Khosla Ventures,@KhoslaVentures,VC Firm,AI climate tech investor
Benchmark,@benchmark,VC Firm,Early stage VC firm
Index Ventures,@indexventures,VC Firm,European and US tech VC
Accel,@accel,VC Firm,Major tech growth investor
Lightspeed Venture,@lightspeedvp,VC Firm,Consumer enterprise tech
General Catalyst,@generalcatalyst,VC Firm,Tech healthcare investor
Insight Partners,@insightpartners,VC Firm,Growth stage tech
Tiger Global,@TigerGlobalMgmt,VC Firm,Crossover tech investor
Craft Ventures,@craftventures,VC Firm,David Sacks' firm
Social Capital,N/A,VC Firm,Chamath's firm - limited public presence
Palantir,@PalantirTech,Tech Corporation,Data analytics surveillance
Coinbase,@coinbase,Crypto Corporation,Cryptocurrency exchange
Ethereum,@ethereum,Crypto Corporation,Blockchain platform
Binance,@binance,Crypto Corporation,Global crypto exchange
BlackRock,@BlackRock,Financial Corporation,World's largest asset manager ESG leader
JPMorgan Chase,@jpmorgan,Financial Corporation,Investment banking greenwashing
Goldman Sachs,@GoldmanSachs,Financial Corporation,Investment banking
