indexname,tablename
conversations_pkey,conversations
idx_conversations_created_at,conversations
idx_conversations_metadata,conversations
idx_conversations_platform,conversations
idx_conversations_platform_id,conversations
idx_interactions_created_at,interactions
idx_interactions_platform,interactions
idx_interactions_platform_interaction_id,interactions
idx_interactions_processed,interactions
idx_interactions_processed_date,interactions
idx_interactions_response_sent,interactions
idx_interactions_type_platform,interactions
interactions_pkey,interactions
interactions_platform_platform_interaction_id_key,interactions
idx_messages_conversation_id,messages
idx_messages_created_at,messages
idx_messages_metadata,messages
messages_pkey,messages
